Id,ProductClassificationId,Isin,IsSecondaryMarket,Code,ExchangeCode,AssetId,AssetName,AssetCurrency,Currency,Status,FollowCode,IsSiat,AssetNMP,AssetIsin,AssetNMPExchangeCode,AssetDecimalPlaces,AssetRic,MarketingAssetNMPExchangeCode,MarketingAssetNMP,MarketingAssetId,MarketingAssetISIN,MarketingAssetRic,MigratedToOneFlow,MaturityDate,AssetCurrencyRaw,TodayBarrierHitDate,IssueDate,Venue,IsPanther,EsgEligible,FkAssetType,PutOrCall,Ratio,Strike,BarrierTurboCertificate,CurrentLeverage,IsQuanto,Bid,Offer,BrokerLinks,RatioSuffix,StrikeSuffix,BarrierTurboCertificateSuffix,CurrentLeverageDecimalPlaces,_asset_name,_typ,StrategyExtended,FactorLeverage,_spot
5394613,45,DE000FA0AH39,False,FA0AH3,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-05-06T00:00:00,,False,,2,Put,100.0,27564.676255,26980.0,17.1105514511984,,14.99,15.0,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5718555,45,DE000FA77FF0,False,FA77FF,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-08-07T00:00:00,,False,,2,Put,100.0,28706.80877,28100.0,9.78321749068735,,26.44,26.45,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5394074,45,DE000FA0AHE9,False,FA0AHE,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-05-06T00:00:00,,False,,2,Call,100.0,20558.370092,21070.0,4.75050344958024,,54.99,55.0,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5394620,45,DE000FA0AHX9,False,FA0AHX,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-05-06T00:00:00,,False,,2,Put,100.0,27355.084907,26770.0,19.8800954373164,,12.89,12.9,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5040475,45,DE000SX0GU23,False,SX0GU2,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-01-30T00:00:00,,False,,2,Put,100.0,28563.652771,27960.0,10.3385967562959,,25.0,25.01,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5327755,45,DE000SX752M3,False,SX752M,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-04-16T00:00:00,,False,,2,Call,100.0,21314.50368,21850.0,5.51042333697234,,47.43,47.44,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5328877,45,DE000SX752H3,False,SX752H,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-04-16T00:00:00,,False,,2,Call,100.0,21207.879863,21740.0,5.3885629618404,,48.5,48.51,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
6581889,45,DE000FE34R18,False,FE34R1,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2026-04-17T00:00:00,,False,,2,Call,100.0,22915.490543,23490.0,8.33886011762655,,31.39,31.4,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5328307,45,DE000SX75NG1,False,SX75NG,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-04-16T00:00:00,,False,,2,Call,100.0,21784.518981,22330.0,6.11895181515856,,42.73,42.74,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5327716,45,DE000SX75243,False,SX7524,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-04-16T00:00:00,,False,,2,Call,100.0,21667.015121,22210.0,5.95523897512788,,43.9,43.91,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
986203,45,DE000SB2GVC1,True,SB2GVC,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2020-07-02T00:00:00,,False,,2,Call,100.0,14850.283199,15220.0,2.32727966135034,,112.07,112.08,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5046981,45,DE000SX0LA61,False,SX0LA6,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-01-31T00:00:00,,False,,2,Put,100.0,28861.69728,28250.0,9.24491505527756,,27.99,28.0,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
