Basiswert,Yahoo,Produkte,Kurs EUR,Tagesvola %,engster KO %,in Sigma,Hebel,Spread %,Sleeve-Tagesvola %,WKN
Alphabet  A,GOOGL,368,291.8924636434042,1.3570632318085885,2.6353997800383535,1.9419874610603791,30.775610608725,1.1627906976744196,41.76444959355903,FG2880
Exxon Mobil,XOM,123,137.6230711642716,1.6752266792424988,3.6116094781442754,2.1558930041499615,24.5656850019295,1.8867924528301903,41.15309090909962,FG2769
Alphabet C (Google),GOOG,614,289.23267188710093,1.2484198908318953,2.5426969409559,2.0367321600920283,32.1644539122009,1.2195121951219388,40.15474404173737,FG5RPC
CIENA,CIEN,72,274.6659934601153,5.1709762136396735,12.006674057243217,2.3219356580238704,7.66613271389462,1.621621621621623,39.64138991415403,FG2JBZ
Eli Lilly and Co,LLY,276,990.4925329145512,2.101104204478769,5.433689754798488,2.5861115042347222,18.5747402533606,1.785714285714287,39.02746484343699,FG30K6
Circle Internet Group,CRCL,68,88.37925178556063,6.053922453270923,15.438286265183871,2.550129504358384,6.43275501561672,0.714285714285715,38.943400025433206,FG6YQM
Caterpillar,CAT,230,701.7786834179502,1.8648347762395239,4.822864151371525,2.5862152576846116,20.5229401865814,1.9337016574585715,38.271892570620665,FG6W5H
Deere and Co,DE,70,598.3870467257552,2.5590228054374062,6.279332188689736,2.4538007927664514,14.8539395610232,1.7994858611825266,38.011570087247264,FG6VB5
Cadence Design Systems,CDNS,75,251.28439032785477,2.629612118127228,6.149899737204176,2.3387098404399076,14.3262340826227,1.7045454545454561,37.67243875079196,FE3Y0R
Accenture,ACN,69,161.27413217451166,2.331204298328821,6.050197701464861,2.5953099459374234,15.6117342335039,1.9230769230769247,36.39414194951149,FG3R45
Boeing,BA,143,181.92290422510973,1.1564665374796177,2.681418142674904,2.318630116629867,31.4317429068175,1.785714285714287,36.349758886396764,FG6G5A
Cloudflare,NET,129,241.01066087255833,4.1559268170343024,10.104932049958302,2.4314509121142924,8.66680814516307,1.8115942028985446,36.018620388574526,FG6WGY
ConocoPhillips,COP,81,115.80098700628173,1.7663163960034922,4.614306773486928,2.61238970771452,19.6286889749189,1.7543859649122628,34.670475168452235,FG6RY8
Estee Lauder,EL,61,89.83356509766801,4.156420360965973,10.010922300872007,2.40854423553671,8.30898168682094,1.960784313725492,34.53562066199596,FG3SJ6
AppLovin,APP,118,274.1036464159711,2.507420306590947,6.848257008184927,2.7311962777775056,13.5943534862122,1.9704433497536855,34.08675798630391,FG3BDK
Constellation Energy,CEG,149,257.88374064194136,2.09867006238724,5.987339211038393,2.8529206750239657,16.0429846929158,1.7964071856287442,33.668931686359144,FG6YS1
BioNTech,BNTX,266,90.3294673436021,5.6202820328096985,16.51067027725922,2.9376942617602384,5.80881170650641,1.960784313725492,32.64716006605262,FE6881
Block (Square),XYZ,138,71.64866362619395,2.675384620012362,7.54479137121698,2.8200772759103767,11.947945059997,1.785714285714287,31.96534845426865,FG2GFK
Airbnb,ABNB,145,156.976590654849,2.000561042599365,5.897299530426346,2.94782283811939,15.8746735794005,1.9230769230769247,31.75825352693006,FG6LB9
Costco Wholesale,COST,90,789.709346872042,1.2437273213098121,3.8083167067883714,3.0620190145680017,23.3161845537764,1.8691588785046744,28.998975758233534,SW6BRU
Citigroup,C,69,118.75933568539713,1.3904187879388277,4.609045486369179,3.3148613398713342,20.4367012639831,1.7241379310344844,28.415573400935283,FG6WZ1
American Express,AXP,94,281.430347646502,1.097182678758079,3.4982102916082156,3.1883571982451486,25.8195377261147,1.9230769230769247,28.328749566633803,FE68WA
Axon Enterprise,AXON,64,446.80601970570524,4.321341253336413,14.680346021082391,3.397173507125367,6.52109616447615,1.9578313253012032,28.179881872524643,FG0W6X
Adobe,ADBE,255,230.11793950606665,3.1230805001434585,10.320137448927122,3.30447372344487,9.01356785947475,1.1450381679389408,28.1500980186454,FG2JF1
AngloGold Ashanti,AU,63,94.8545848033732,3.8031181649025227,12.200751528753205,3.208091623696873,7.34164436237978,1.5748031496063006,27.92114103482074,FG6FJ5
AutoDesk,ADSK,87,186.92168746235262,3.222819666478266,10.719587292784787,3.326151755955557,8.24673098638167,1.8433179723502322,26.577726807066554,FG0W6S
Arm Holdings,ARM,135,217.35287496773083,3.186526072286177,10.101359785200268,3.170022637835514,8.10504370881754,1.2244897959183774,25.826933095166144,FG3KB9
Delta Air Lines,DAL,90,69.26065226744686,1.81401826499154,7.158275805363007,3.946088054078326,13.7633984946447,1.9230769230769247,24.967056257642554,FE53WC
Barrick Mining,B,243,38.67703726013252,3.252659105046718,12.399858632196409,3.8122220102798967,7.5867330060706,1.9230769230769247,24.677056189753994,FE1ETW
Cheniere Energy,LNG,60,252.21347904655366,1.5456325758049985,6.238421847675665,4.036160951399825,15.8489855673367,1.7964071856287442,24.496708386338867,FG6MC3
Amgen,AMGN,89,378.02259530160916,1.3920213137836706,5.947263498881667,4.272393992816343,16.0148307790125,1.6949152542372898,22.29298578102414,FG6D92
Danaher,DHR,70,179.23878710954307,1.9331743298176312,7.69897074196466,3.982553783802288,11.4438443413781,1.960784313725492,22.1229461151809,FG6JZX
Abbott Laboratories,ABT,67,93.47646760175545,1.3288554877328667,5.381931011554988,4.050049882201255,16.4473779054047,1.9230769230769247,21.85618838841334,FG2JAP
DoorDash,DASH,66,182.82279537045005,2.071955538171425,8.818660547902478,4.256201634367725,10.2044382809431,1.8072289156626522,21.14314241012855,FG2ZH4
Altria Group,MO,68,59.4581563548748,1.8061992519108756,8.82781194573978,4.887507253920276,10.6116324580515,1.7543859649122628,19.166722607285784,FG5UK7
Albemarle,ALB,123,108.19858876172447,2.8631537292456755,13.53443576693618,4.727107604697829,6.62560004748115,1.8987341772151913,18.970111484435982,FC2VR2
Bank of America,BAC,68,54.05516736941743,1.0882206854703624,5.307629990427831,4.877347087124805,17.0758182005163,0.3154574132492046,18.58225858713314,SU7SH4
eBay,EBAY,76,89.31480251269255,2.1019199032445113,10.977484435037328,5.222598833615185,8.58757493315388,1.8867924528301903,18.050394672599793,FG24R2
Cintas,CTAS,96,173.27333362017038,1.0405223758521835,5.556349679553794,5.3399617427767145,16.6270940162917,1.980198019801982,17.300863369349464,FG1X1F
Enphase Energy,ENPH,102,31.628399019017298,2.7876773640076995,16.745685748576133,6.007038678429317,5.87481373832165,1.8518518518518534,16.377085276080717,FD49KW
Coca-Cola Co,KO,91,75.96420876000346,0.982153960885079,6.526385445018025,6.64497187298079,14.038213737035,1.8518518518518534,13.787687225580253,FE6YYE
BlackRock,BLK,87,968.5683082350918,1.3294600281547004,10.203486351391367,7.674910215656409,9.20083094177691,1.9230769230769247,12.23213696290137,FG1N7C
3M,MMM,77,145.57027364254367,0.8184475133923474,6.382294583498364,7.798049940972597,13.8173239626937,1.9230769230769247,11.308754439003156,FG6PV4
AT&T,T,108,22.15176705963342,1.1397915538692223,12.90233528950307,11.319907789897048,7.71461692301871,0.33333333333332626,8.793055210193293,FD6SVZ
