Basiswert,Yahoo,Produkte,Kurs EUR,Vola typisch %,Vola std %,std/MAD,Sprungtage/Jahr,groesster Tag %,engster KO %,KO in Sigma,Hebel,Spread %,Sleeve-Tagesvola %,WKN
T-Mobile US,TMUS,71,156.80707264589432,2.0932126120263366,2.5169699899803093,1.2024435432498917,1.984251968503937,10.746833565563563,20.72695291298905,9.901981668706028,4.66845827296283,1.8348623853211024,9.772075735684487,SB2FK5
ON Semiconductor,ON,69,63.58653210535377,3.825737402220658,4.958858479972615,1.2961837048967955,17.858267716535433,23.656726329166933,38.212741543524025,9.98833362722265,2.53700113179285,1.632653061224491,9.705900119376047,FG1J24
Lululemon Athletica,LULU,74,86.04645808228611,2.8344071650389,3.308745796989216,1.1673502091728611,5.952755905511811,17.37701947610236,29.461925486233092,10.394387175432064,3.37502415695549,1.9531250000000104,9.566192652654014,FG1S0B
Intuit,INTU,90,287.58947237045965,2.7565860574115706,2.8533212014435874,1.0350923722377277,3.968503937007874,20.019270913400277,29.21478052131877,10.598174667092161,3.28289629049952,1.934015927189988,9.049586142319143,FG3SK9
HP,HPQ,80,28.039477534859703,2.9977938869184855,2.8399413769766575,0.9473437748236624,7.937007874015748,15.251142514914996,33.63925238206406,11.22133597271518,2.97987535975885,1.9937040923399738,8.933052137264104,FC9Z7K
Cloudflare,NET,135,242.2199561101549,3.598202318496699,3.342747961284699,0.9290050045549616,17.858267716535433,23.622415843137347,41.040574744817086,11.405855233277578,2.43792040234474,1.9960079840319291,8.772130844027249,SX4DHT
Fortinet,FTNT,89,135.00087192287828,2.882234470848029,2.761897194903349,0.9582486167722247,3.968503937007874,20.03335729164033,33.22671742656826,11.528110486025824,2.98388371090642,1.9867549668874138,8.60025248857642,FE5CU0
RTX,RTX,82,172.85380960578414,1.1351994308373117,1.8066068311331458,1.5914444476074225,0.0,7.327585396913294,12.88427971347857,11.349794021633057,7.51511873473493,1.7021276595744694,8.531158510345909,FD224H
Pdd Holdings,PDD,100,70.52106343604751,1.8935252052836578,2.130226439452566,1.1250055893147983,3.968503937007874,10.378723967967286,21.389895200277476,11.296335079454716,4.48547215098092,1.8987341772151913,8.493354575480277,FG0PUY
Starbucks,SBUX,134,90.40198140815976,1.4193280082624575,1.409777482319079,0.9932710931597339,1.984251968503937,8.449836887181906,17.0852462093763,12.037560105850424,5.71996498122865,1.9230769230769247,8.118506504138265,FC36H4
